Date,Open,High,Low,Close,Adj Close,Volume
2020-02-10,196.500000,196.699997,190.399994,193.199997,193.199997,14810988
2020-02-11,197.699997,202.399994,195.050003,196.300003,196.300003,18730237
2020-02-12,198.699997,199.250000,194.000000,197.000000,197.000000,12307478
2020-02-13,196.500000,197.250000,192.649994,193.899994,193.899994,8746026
2020-02-14,192.899994,197.649994,189.399994,190.500000,190.500000,14340696
2020-02-17,192.500000,193.399994,188.850006,190.399994,190.399994,12487268
2020-02-18,188.699997,189.300003,181.699997,185.250000,185.250000,14228234
2020-02-19,188.000000,189.500000,184.000000,188.050003,188.050003,9801115
2020-02-20,187.500000,195.899994,185.800003,193.399994,193.399994,16689454
2020-02-24,190.399994,190.399994,172.850006,174.899994,174.899994,19898510
2020-02-25,179.949997,182.699997,175.350006,179.000000,179.000000,19983174
2020-02-26,172.050003,175.800003,169.149994,170.149994,170.149994,25605939
2020-02-27,170.000000,170.000000,164.550003,168.350006,168.350006,21185744
2020-02-28,158.000000,162.199997,146.300003,153.899994,153.899994,22939235
